rank,name,sex,origin,frequency
198,Ahlam,M,arabic,31254
199,Naoual,F,arabic,30872
200,Abdelkarim,M,arabic,30708
201,Safae,M,arabic,30545
202,Salwa,F,arabic,30381
203,Moha,M,arabic,30026
204,Adnane,M,arabic,29944
205,Ibrahim,M,arabic,29699
206,Abdelhakim,M,arabic,29562
207,Abderrazak,M,arabic,29535
208,Sidi,M,arabic,29371
209,Atika,F,arabic,29289
210,Sana,F,arabic,28989
211,Miloud,M,arabic,28716
212,Soumaya,F,arabic,28607
213,Allal,M,arabic,28552
214,Hafsa,F,arabic,28416
215,Saloua,M,arabic,28061
216,Hanan,M,arabic,28006
217,Yasmine,F,arabic,27815
218,Mariem,F,arabic,27296
219,Badia,F,arabic,27215
220,Walid,M,arabic,27160
221,Fati,F,arabic,26887
222,Rkia,F,arabic,26860
223,Mhamed,M,arabic,26778
224,Hakim,M,arabic,26696
225,Yassir,M,arabic,26013
226,Maryam,F,arabic,25522
227,Farida,F,arabic,25249
228,Hatim,M,arabic,25058
229,Nouzha,F,arabic,24539
230,Nisrine,F,arabic,24458
231,Othman,M,arabic,24348
232,Abdelmalek,M,arabic,24267
233,Zhor,F,arabic,24185
234,Hanae,M,arabic,24103
235,El Mehdi,M,arabic,23912
236,Rahma,F,arabic,23748
237,Elmehdi,M,arabic,23693
238,Lahsen,M,arabic,23666
239,Khaddouj,F,arabic,23611
240,Hiba,F,arabic,23530
241,Raja,M,arabic,23147
242,Smail,M,arabic,23065
243,Abderrazzak,M,arabic,22874
244,Abdelhafid,M,arabic,22847
245,Azeddine,M,arabic,22847
246,Mohcine,M,arabic,22601
247,Salim,M,arabic,22601
248,Radouane,M,arabic,22328
249,Taha,M,arabic,21755
250,Maha,F,arabic,21673
251,Mouhcine,M,arabic,21646
252,Wafae,F,arabic,21619
253,Najoua,F,arabic,21537
254,Mimoun,M,arabic,21209
255,Sami,M,arabic,21209
256,Idrissi,M,arabic,21046
257,Fatima-Zahra,F,arabic,20991
258,Farah,F,arabic,20854
259,Lamiae,F,arabic,20800
260,Hasnae,M,arabic,20773
261,Mahmoud,M,arabic,20609
262,Lamiaa,F,arabic,20527
263,Btissam,F,arabic,20390
264,Thami,M,arabic,20390
265,Otmane,M,arabic,20309
266,Zahira,F,arabic,20117
267,Adam,M,arabic,20036
268,Afaf,F,arabic,20008
269,Abdesselam,M,arabic,19899
270,Mostapha,M,arabic,19708
271,Widad,F,arabic,19708
272,Moussa,M,arabic,19626
273,Rida,F,arabic,19490
274,Maryem,F,arabic,19435
275,Salaheddine,M,arabic,19435
276,Wafa,M,arabic,19380
277,Abdelfattah,M,arabic,19353
278,Chakib,M,arabic,19244
279,Abdelhaq,M,arabic,19217
280,Abdo,M,arabic,19080
281,Fatimazahra,F,arabic,18916
282,Sakina,F,arabic,18534
283,Boujemaa,M,arabic,18343
284,Nazha,F,arabic,18016
285,Jalila,F,arabic,17934
286,Jilali,M,arabic,17852
287,Yassin,M,arabic,17852
288,Nouhaila,F,arabic,17715
289,Jihad,M,arabic,17633
290,Hanaa,M,arabic,17579
291,Malak,F,arabic,17552
292,Basma,M,arabic,17497
293,Mokhtar,M,arabic,17333
294,Houssam,M,arabic,17251
295,Morad,M,arabic,17251
296,Tahar,M,arabic,17197
297,Bachir,M,arabic,17142
298,Mustafa,M,arabic,17142
299,Fatima-Ezzahra,F,arabic,16951
300,Rania,F,arabic,16924
301,Najwa,F,arabic,16896
302,Safia,F,arabic,16542
303,Meryam,F,arabic,16105
304,Boubker,M,arabic,16023
305,Bouchta,M,arabic,15941
306,Fahd,M,arabic,15859
307,Majid,M,arabic,15805
308,Rim,M,arabic,15723
309,Yamina,F,arabic,15695
310,Idriss,M,arabic,15614
311,Layla,F,arabic,15450
312,Azzeddine,M,arabic,15422
313,Faiza,F,arabic,15313
314,Ilyass,M,arabic,15313
315,Abdelaaziz,M,arabic,15259
316,Hassna,F,arabic,15177
317,Keltoum,F,arabic,15150
318,Mahjouba,F,arabic,15150
319,Marwa,M,arabic,15095
320,Abdelouahab,M,arabic,15068
321,Houcine,M,arabic,15040
322,Iman,M,arabic,15013
323,Oumayma,F,arabic,14958
324,Madiha,F,arabic,14904
325,Yasmina,F,arabic,14849
326,Ouafa,F,arabic,14767
327,Lina,F,arabic,14658
328,Bilal,M,arabic,14604
329,Abdenbi,M,arabic,14467
330,Otman,M,arabic,14385
331,Radia,F,arabic,14331
332,Souhail,M,arabic,14221
333,Abdesslam,M,arabic,14167
334,Lahbib,M,arabic,14167
335,Bouazza,M,arabic,14085
336,Abdelkhalek,M,arabic,13976
337,Fatine,F,arabic,13867
338,Tayeb,M,arabic,13676
339,Yasser,M,arabic,13621
340,Majida,F,arabic,13594
341,Jean,M,arabic,13539
