rank,name,sex,origin,frequency
979,Mürüvet,F,turkish,
980,Battal,M,turkish,
981,Güli,M,turkish,
982,Bilgin,M,turkish,
983,Safinaz,F,turkish,
984,Berkay,M,turkish,
985,Ruhi,M,turkish,
986,Refiye,F,turkish,
987,Gülcihan,F,turkish,
988,Çağdaş,M,turkish,
989,Arda,M,turkish,
990,Baran,M,turkish,
991,Tansu,M,turkish,
992,Füsun,F,turkish,
993,Pembe,F,turkish,
994,Sevdiye,F,turkish,
995,Gürbüz,M,turkish,
996,Amine,F,turkish,
997,Şemse,F,turkish,
