rank,name,sex,origin,frequency
226,Zahide,F,turkish,
227,Levent,M,turkish,
228,Yavuz,M,turkish,
229,Erdoğan,M,turkish,
230,Özcan,M,turkish,
231,Cihan,M,turkish,
232,Aziz,M,turkish,
233,Selçuk,M,turkish,
234,Hilal,M,turkish,
235,Cennet,F,turkish,
236,Şadiye,F,turkish,
237,Tuncay,M,turkish,
238,Nesrin,F,turkish,
239,Nimet,M,turkish,
240,Fikret,M,turkish,
241,Muammer,M,turkish,
242,Melahat,F,turkish,
243,Volkan,M,turkish,
244,Birgül,F,turkish,
245,Durmuş,M,turkish,
246,Özge,F,turkish,
247,Reyhan,M,turkish,
248,Asli,F,turkish,
249,Nazife,F,turkish,
250,Nurgül,F,turkish,
251,Sadık,M,turkish,
252,Memet,M,turkish,
253,Nevzat,M,turkish,
254,Ersin,M,turkish,
255,Elmas,M,turkish,
256,Habibe,F,turkish,
257,Doğan,M,turkish,
258,Fikriye,F,turkish,
259,Nihal,F,turkish,
260,Eyüp,M,turkish,
261,Hamza,M,turkish,
262,Dudu,F,turkish,
263,Remzi,M,turkish,
264,Özkan,M,turkish,
265,Suna,F,turkish,
266,Eda,F,turkish,
267,Kezban,F,turkish,
268,Turan,M,turkish,
269,Bedriye,F,turkish,
270,Nevin,F,turkish,
271,Suat,M,turkish,
272,Mehtap,F,turkish,
273,Raziye,F,turkish,
274,Sami,M,turkish,
275,Cuma,M,turkish,
276,Sati,M,turkish,
277,Sebahat,F,turkish,
278,Hafize,F,turkish,
279,Servet,M,turkish,
280,Mine,F,turkish,
281,Serhat,M,turkish,
282,Lütfiye,F,turkish,
283,Çetin,M,turkish,
284,Şükriye,F,turkish,
285,Melike,F,turkish,
286,Enver,M,turkish,
287,Nebahat,F,turkish,
288,Selda,F,turkish,
289,Idris,M,turkish,
290,Semiha,F,turkish,
291,Hatun,F,turkish,
292,Kıymet,F,turkish,
293,Davut,M,turkish,
294,Neşe,F,turkish,
295,Ridvan,M,turkish,
296,Şenay,M,turkish,
297,Hakki,M,turkish,
298,Öznur,M,turkish,
299,Haydar,M,turkish,
300,Soner,M,turkish,
301,Sinem,F,turkish,
302,Tahsin,M,turkish,
303,Aliye,F,turkish,
304,Niyazi,M,turkish,
305,Suzan,F,turkish,
306,Ufuk,M,turkish,
307,Nilgün,F,turkish,
308,Birsen,F,turkish,
309,Gizem,F,turkish,
310,Nejla,F,turkish,
311,Cafer,M,turkish,
312,Yeliz,F,turkish,
313,Sakine,F,turkish,
314,Umut,M,turkish,
315,Oktay,M,turkish,
316,Fevzi,M,turkish,
317,Okan,M,turkish,
318,Şenol,M,turkish,
319,Ümmü,F,turkish,
320,Sabriye,F,turkish,
321,Azize,F,turkish,
322,Meltem,F,turkish,
323,Gülüzar,F,turkish,
324,Rıza,M,turkish,
325,Döne,F,turkish,
326,Samet,M,turkish,
327,Funda,F,turkish,
328,Cem,M,turkish,
329,Gül,M,turkish,
330,Turgut,M,turkish,
331,Gülhan,M,turkish,
332,Yalçın,M,turkish,
333,Hamit,M,turkish,
334,Adil,M,turkish,
335,Şevket,M,turkish,
336,Hayrettin,M,turkish,
337,Erdem,M,turkish,
338,Taner,M,turkish,
339,Sait,M,turkish,
340,Sevil,F,turkish,
341,Fuat,M,turkish,
342,Nursel,M,turkish,
343,Kamile,F,turkish,
344,Izzet,M,turkish,
345,Pakize,F,turkish,
346,Demet,F,turkish,
347,Kader,M,turkish,
348,Oğuz,M,turkish,
349,Oğuzhan,M,turkish,
350,Gülşah,F,turkish,
351,Yeşim,F,turkish,
352,Yücel,M,turkish,
353,Tolga,M,turkish,
354,Nurşen,F,turkish,
355,Nezahat,F,turkish,
356,Tuğçe,F,turkish,
357,Mert,M,turkish,
358,Adile,F,turkish,
359,Saime,F,turkish,
360,Gülbahar,F,turkish,
361,Tahir,M,turkish,
362,Naime,F,turkish,
363,Ayla,F,turkish,
364,Nurhan,M,turkish,
365,Hasibe,F,turkish,
366,Savaş,M,turkish,
367,Sevinç,M,turkish,
368,Resul,M,turkish,
369,Salim,M,turkish,
370,Züleyha,F,turkish,
371,Hamdi,M,turkish,
372,Turgay,M,turkish,
373,Ilker,M,turkish,
374,Şeyma,F,turkish,
375,Fırat,M,turkish,
376,Ipek,M,turkish,
377,Şaziye,F,turkish,
378,Alper,M,turkish,
379,Fahri,M,turkish,
380,Ünal,M,turkish,
381,Ziya,M,turkish,
382,Fahrettin,M,turkish,
383,Kevser,F,turkish,
384,Zuhal,F,turkish,
385,Furkan,M,turkish,
386,Nilüfer,F,turkish,
387,Şerif,M,turkish,
388,Semih,M,turkish,
389,Figen,F,turkish,
390,Kasım,M,turkish,
391,Fahriye,F,turkish,
392,Şefika,F,turkish,
393,Cevdet,M,turkish,
394,Senem,F,turkish,
395,Fidan,F,turkish,
396,Sabiha,F,turkish,
397,Mevlüde,F,turkish,
398,Ceylan,M,turkish,
399,Dilber,F,turkish,
400,Elife,F,turkish,
401,Yahya,M,turkish,
402,Zekeriya,M,turkish,
403,Cansu,F,turkish,
404,Enes,M,turkish,
405,Seyhan,M,turkish,
406,Önder,M,turkish,
407,Gülizar,F,turkish,
408,Duran,M,turkish,
409,Necmettin,M,turkish,
410,Ergün,M,turkish,
411,Müslüm,M,turkish,
412,Aykut,M,turkish,
413,Muhittin,M,turkish,
414,Selami,M,turkish,
415,Kerim,M,turkish,
416,Mukaddes,F,turkish,
417,Fatime,F,turkish,
