rank,name,origin,frequency
237,Anne-Marie,flemish,5495
238,Benjamin,flemish,5469
239,Julia,flemish,5454
240,Jonathan,flemish,5436
241,Gilbert,flemish,5425
242,Maurice,flemish,5415
243,Jenny,flemish,5390
244,Kristel,flemish,5365
245,Senne,flemish,5355
246,Lutgarde,flemish,5344
247,Nora,flemish,5324
248,Marianne,flemish,5324
249,Michaël,flemish,5268
250,Rik,flemish,5262
251,Alice,flemish,5236
252,Chris,flemish,5211
253,Benny,flemish,5201
254,Daniël,flemish,5182
255,Diane,flemish,5180
256,Steve,flemish,5160
257,Nathan,flemish,5155
258,Philip,flemish,5151
259,Elias,flemish,5121
260,Alex,flemish,5098
261,Ludo,flemish,5088
262,Juliette,flemish,5026
263,Werner,flemish,5020
264,Luna,flemish,5019
265,Lina,flemish,5015
266,Evelien,flemish,4996
267,Alfons,flemish,4994
268,Lieve,flemish,4994
269,Simonne,flemish,4969
270,Mathieu,flemish,4953
271,Mariette,flemish,4952
272,Leo,flemish,4943
273,Ben,flemish,4923
274,Peggy,flemish,4919
275,Pascale,flemish,4908
276,Lea,flemish,4901
277,Christiaan,flemish,4892
278,Jessica,flemish,4834
279,Lisette,flemish,4832
280,Mathis,flemish,4805
281,Dominique,flemish,4777
282,Véronique,flemish,4764
283,Kenny,flemish,4755
284,Mia,flemish,4755
285,Tine,flemish,4750
286,Veronique,flemish,4714
287,Silke,flemish,4701
288,Francis,flemish,4656
289,Mila,flemish,4622
290,Sonia,flemish,4620
291,Yannick,flemish,4613
292,Anny,flemish,4608
293,Martin,flemish,4594
294,Amélie,flemish,4526
295,Thierry,flemish,4505
296,Magdalena,flemish,4501
297,Vicky,flemish,4501
298,Lydia,flemish,4497
299,Zoë,flemish,4497
300,Sylvie,flemish,4474
301,Sabrina,flemish,4466
302,Didier,flemish,4439
303,Finn,flemish,4438
304,Wilfried,flemish,4432
305,Ria,flemish,4426
306,William,flemish,4425
307,Franky,flemish,4419
308,Tamara,flemish,4385
309,Ronald,flemish,4347
310,Barbara,flemish,4341
311,Matteo,flemish,4319
312,John,flemish,4319
313,Gilles,flemish,4310
314,Lucien,flemish,4277
315,Joeri,flemish,4241
316,Joanna,flemish,4232
317,Fleur,flemish,4228
318,Stan,flemish,4219
319,Iris,flemish,4198
320,Lieven,flemish,4169
321,Bernard,flemish,4145
322,Arlette,flemish,4116
323,Gino,flemish,4102
324,Astrid,flemish,4060
325,Manon,flemish,4056
326,Dylan,flemish,4054
327,Brent,flemish,4045
328,Wesley,flemish,4036
329,Tony,flemish,4028
330,Karine,flemish,4021
331,Elisa,flemish,4015
332,Jef,flemish,4009
333,Johnny,flemish,4008
334,Christiana,flemish,4006
335,Jeanne,flemish,4006
336,Elien,flemish,3987
337,Renée,flemish,3986
338,Valerie,flemish,3967
339,Camille,flemish,3956
340,Mark,flemish,3930
341,Lara,flemish,3916
342,Vince,flemish,3899
343,Quinten,flemish,3896
344,Johannes,flemish,3882
345,Britt,flemish,3876
346,Margot,flemish,3868
347,Lukas,flemish,3864
348,Carina,flemish,3848
349,Suzanne,flemish,3845
350,Erna,flemish,3814
351,Mats,flemish,3810
352,Brecht,flemish,3792
353,Claudine,flemish,3787
354,Lies,flemish,3786
355,Björn,flemish,3769
356,Daisy,flemish,3769
357,Serge,flemish,3760
358,Mireille,flemish,3742
359,Saskia,flemish,3730
360,Arno,flemish,3720
361,Catherine,flemish,3720
362,Emile,flemish,3708
363,Katleen,flemish,3702
364,Luca,flemish,3676
365,Felix,flemish,3657
366,Kenneth,flemish,3637
367,Lander,flemish,3630
368,Jordy,flemish,3621
369,Ward,flemish,3609
370,Bjorn,flemish,3603
371,Yvette,flemish,3602
372,Dorien,flemish,3602
373,Laurens,flemish,3590
374,Frieda,flemish,3589
375,Evy,flemish,3574
376,Vic,flemish,3571
377,Dennis,flemish,3560
378,Yvonne,flemish,3557
379,Lynn,flemish,3549
380,Jean-Pierre,flemish,3548
381,Mohammad,flemish,3546
382,Raf,flemish,3542
383,Kato,flemish,3538
384,Ivo,flemish,3535
385,Kimberly,flemish,3535
386,Hubert,flemish,3532
387,Kristien,flemish,3530
388,Fabienne,flemish,3507
389,Andreas,flemish,3491
390,Charles,flemish,3488
391,Anthony,flemish,3487
392,Tuur,flemish,3487
393,Axelle,flemish,3477
394,Eveline,flemish,3468
395,Raymond,flemish,3458
396,Evi,flemish,3449
397,Danielle,flemish,3446
398,Ine,flemish,3440
399,Viktor,flemish,3426
400,Franciscus,flemish,3424
401,Stef,flemish,3405
402,Gustaaf,flemish,3360
403,Tania,flemish,3347
404,Lowie,flemish,3336
405,Griet,flemish,3336
406,José,flemish,3326
407,Jill,flemish,3303
408,Christina,flemish,3300
409,Warre,flemish,3286
410,Elza,flemish,3255
411,Jimmy,flemish,3244
412,Anke,flemish,3243
413,Georgette,flemish,3237
414,Joannes,flemish,3230
415,Noël,flemish,3219
416,Mike,flemish,3196
417,Aline,flemish,3195
418,Alexandra,flemish,3185
419,Conny,flemish,3170
420,Kaat,flemish,3156
421,Antoine,flemish,3153
422,Ferre,flemish,3151
423,Pauline,flemish,3147
424,Jarne,flemish,3144
425,Jade,flemish,3130
426,Ludovicus,flemish,3125
427,Koenraad,flemish,3117
428,Xander,flemish,3115
429,Samuel,flemish,3101
430,Anouk,flemish,3101
431,Axel,flemish,3097
432,Isabel,flemish,3087
433,Mauro,flemish,3086
434,Cédric,flemish,3081
435,Bernadette,flemish,3078
436,Lucie,flemish,3077
437,Esther,flemish,3075
438,Rune,flemish,3074
439,Céline,flemish,3074
440,Carla,flemish,3071
441,Johanna,flemish,3069
442,Siebe,flemish,3059
443,Febe,flemish,3054
444,Delphine,flemish,3040
445,Joyce,flemish,3035
446,Toon,flemish,3027
447,Gabriel,flemish,3015
448,Martha,flemish,3010
449,Nelly,flemish,3007
450,Janne,flemish,3001
451,Sofia,flemish,2999
452,Catharina,flemish,2996
453,Tibo,flemish,2987
454,Tessa,flemish,2979
455,Eduard,flemish,2969
456,Gunther,flemish,2960
457,Oscar,flemish,2956
458,Aaron,flemish,2942
459,Irène,flemish,2939
460,Lucienne,flemish,2925
461,Emily,flemish,2911
462,Sylvia,flemish,2886
463,Theo,flemish,2877
464,Michelle,flemish,2877
465,Greet,flemish,2875
466,Jo,flemish,2871
467,Raphaël,flemish,2850
468,Jeanine,flemish,2850
469,Marnix,flemish,2843
470,Bianca,flemish,2842
471,Valérie,flemish,2836
472,Rayan,flemish,2832
473,Odette,flemish,2819
474,Ines,flemish,2807
475,Gregory,flemish,2802
476,Josée,flemish,2784
477,Lennert,flemish,2781
478,Jürgen,flemish,2776
479,Clara,flemish,2774
480,Emilie,flemish,2739
481,Claudia,flemish,2739
482,Christa,flemish,2735
483,Lewis,flemish,2723
484,Yana,flemish,2713
485,Lily,flemish,2694
486,Hannah,flemish,2691
487,Bo,flemish,2686
488,Sanne,flemish,2684
489,Guillaume,flemish,2681
490,Emmanuel,flemish,2679
491,Andrea,flemish,2670
492,Ana,flemish,2652
493,Wannes,flemish,2639
494,Naomi,flemish,2638
495,Mona,flemish,2605
496,Kathy,flemish,2605
497,Louisa,flemish,2572
498,Roel,flemish,2567
499,Liv,flemish,2544
500,Liesbet,flemish,2517
501,Karolien,flemish,2516
502,Laure,flemish,2512
503,Gerard,flemish,2506
504,Rosette,flemish,2501
505,Denis,flemish,2491
506,Richard,flemish,2484
507,Stéphanie,flemish,2466
508,Jack,flemish,2455
509,Merel,flemish,2423
510,Cedric,flemish,2420
511,Micheline,flemish,2419
512,Lise,flemish,2405
513,Carl,flemish,2398
514,Dina,flemish,2392
515,Karina,flemish,2390
516,Hannelore,flemish,2386
517,Noa,flemish,2374
518,Petrus,flemish,2370
519,Jos,flemish,2366
520,Anaïs,flemish,2357
521,Aurélie,flemish,2342
522,Marthe,flemish,2334
523,Frédéric,flemish,2325
524,Josephus,flemish,2316
525,Marie-Louise,flemish,2298
526,Carlos,flemish,2294
527,Shana,flemish,2293
528,Joachim,flemish,2280
529,Tristan,flemish,2279
530,Thijs,flemish,2277
531,Chloé,flemish,2275
532,Dave,flemish,2271
533,Marco,flemish,2264
534,Michèle,flemish,2261
535,Margareta,flemish,2255
536,Ruth,flemish,2250
537,Françoise,flemish,2225
538,Josiane,flemish,2224
539,Tina,flemish,2218
540,Margaretha,flemish,2199
541,August,flemish,2191
542,Leonie,flemish,2179
543,Roos,flemish,2174
544,Stephan,flemish,2168
545,Jason,flemish,2168
546,Lauren,flemish,2168
547,Loïc,flemish,2160
548,Lorenzo,flemish,2159
549,Simone,flemish,2155
550,Gaston,flemish,2134
551,Josephina,flemish,2128
552,Remi,flemish,2125
553,Justine,flemish,2122
554,Léon,flemish,2116
555,Lou,flemish,2116
556,Timothy,flemish,2097
557,Cynthia,flemish,2095
558,Amir,flemish,2084
559,Dorine,flemish,2083
560,Victoria,flemish,2077
561,Emilia,flemish,2076
562,Brenda,flemish,2071
563,Anneleen,flemish,2069
564,Gust,flemish,2059
565,Jennifer,flemish,2058
566,Piet,flemish,2056
567,Evelyne,flemish,2056
568,Maya,flemish,2053
569,Romain,flemish,2051
570,Lucia,flemish,2049
571,Virginie,flemish,2047
572,Aya,flemish,2038
573,Cas,flemish,2033
574,Edith,flemish,2025
575,Rachel,flemish,2015
576,Gilberte,flemish,2014
577,Olga,flemish,2013
578,Margaux,flemish,2009
579,Monica,flemish,2006
580,Max,flemish,1996
581,Betty,flemish,1993
582,Kirsten,flemish,1988
583,Katia,flemish,1984
584,Johny,flemish,1974
585,Laurence,flemish,1973
586,Madeleine,flemish,1972
587,Ilias,flemish,1967
588,Jeffrey,flemish,1965
589,Ahmad,flemish,1962
590,Linde,flemish,1958
591,Sigrid,flemish,1956
592,Paulien,flemish,1954
593,Annemie,flemish,1945
594,Florence,flemish,1938
595,Natalie,flemish,1930
596,Nore,flemish,1930
597,Carmen,flemish,1928
598,Marieke,flemish,1911
599,Sharon,flemish,1910
600,Yvan,flemish,1904
601,Bas,flemish,1903
602,Josephine,flemish,1903
603,Deborah,flemish,1895
604,Alina,flemish,1888
605,Robby,flemish,1887
606,Sien,flemish,1881
607,Rudolf,flemish,1880
608,Rob,flemish,1874
609,Joost,flemish,1873
610,Sandy,flemish,1872
611,Joren,flemish,1860
612,Erika,flemish,1853
613,Hélène,flemish,1832
614,Sem,flemish,1818
615,Fran,flemish,1813
616,Jesse,flemish,1804
617,Tanja,flemish,1802
618,Cecile,flemish,1794
619,Marie-Jeanne,flemish,1785
620,Thibault,flemish,1778
621,Norbert,flemish,1765
622,Antoon,flemish,1764
623,Levi,flemish,1764
624,Chloë,flemish,1756
625,Dany,flemish,1754
626,Celine,flemish,1749
627,Amy,flemish,1746
628,Maryam,flemish,1722
629,Ian,flemish,1714
630,Maaike,flemish,1712
631,Kasper,flemish,1711
632,Alexandre,flemish,1702
633,Amelie,flemish,1701
634,Rony,flemish,1699
635,Lindsay,flemish,1699
636,Martina,flemish,1697
637,Ken,flemish,1691
638,Yolande,flemish,1687
639,Bryan,flemish,1682
640,Lodewijk,flemish,1675
641,Manuel,flemish,1675
642,Tess,flemish,1671
643,Ilyas,flemish,1656
644,Natalia,flemish,1645
645,Eliane,flemish,1642
646,Romy,flemish,1635
647,Floor,flemish,1634
648,Angela,flemish,1630
649,Oliver,flemish,1628
650,Kamiel,flemish,1627
651,Rebecca,flemish,1625
652,Gunter,flemish,1620
653,Regina,flemish,1619
654,Maud,flemish,1619
655,Carlo,flemish,1618
656,Hanna,flemish,1617
657,Cyriel,flemish,1610
658,Fernand,flemish,1606
659,Jayden,flemish,1601
660,Gerrit,flemish,1598
661,Florian,flemish,1593
662,Martijn,flemish,1592
663,Lize,flemish,1592
664,Miel,flemish,1583
665,Miguel,flemish,1581
666,Amira,flemish,1581
667,Antonio,flemish,1579
668,Godelieva,flemish,1579
669,James,flemish,1566
670,Marlies,flemish,1562
671,Sebastian,flemish,1554
672,Otis,flemish,1550
673,Mariam,flemish,1540
674,Alicia,flemish,1539
675,Pieter-Jan,flemish,1537
676,Gitte,flemish,1534
677,Marie-Christine,flemish,1534
678,Edwin,flemish,1532
679,Claire,flemish,1530
