rank,name,origin,frequency
261,Kutlu,turkish,
262,Doğru,turkish,
263,Yalçınkaya,turkish,
264,Özkaya,turkish,
265,Önder,turkish,
266,Demirbaş,turkish,
267,Öksüz,turkish,
268,Ataş,turkish,
269,Boz,turkish,
270,Durak,turkish,
271,Eser,turkish,
272,Eker,turkish,
273,Kuru,turkish,
274,Oral,turkish,
275,Varol,turkish,
276,Demircan,turkish,
277,Parlak,turkish,
278,Ölmez,turkish,
279,Gedik,turkish,
280,Güçlü,turkish,
281,Köksal,turkish,
282,Akay,turkish,
283,Adıgüzel,turkish,
284,Türkoğlu,turkish,
285,Göktaş,turkish,
286,Soylu,turkish,
287,Ertaş,turkish,
288,Özden,turkish,
289,Şenol,turkish,
290,Şanli,turkish,
291,Güleç,turkish,
292,Ünsal,turkish,
293,Uğurlu,turkish,
294,Torun,turkish,
295,Gürsoy,turkish,
296,Bilgiç,turkish,
297,Akinci,turkish,
298,Ergül,turkish,
299,Şahan,turkish,
300,Köroğlu,turkish,
301,Mercan,turkish,
302,Türker,turkish,
303,Ayyildiz,turkish,
304,Engin,turkish,
305,Alp,turkish,
306,Tanriverdi,turkish,
307,Solmaz,turkish,
308,Dağli,turkish,
309,Değirmenci,turkish,
310,Saraç,turkish,
311,Bağci,turkish,
312,Yavaş,turkish,
313,Avşar,turkish,
314,Elmas,turkish,
315,Alan,turkish,
316,Keser,turkish,
317,Dal,turkish,
318,Memiş,turkish,
319,Solak,turkish,
320,Üstün,turkish,
321,Deveci,turkish,
322,Aktürk,turkish,
323,Ocak,turkish,
324,Kavak,turkish,
325,Aytekin,turkish,
326,Özsoy,turkish,
327,Özgür,turkish,
328,Bayar,turkish,
329,Gülmez,turkish,
330,Uygun,turkish,
331,Karaduman,turkish,
332,Baysal,turkish,
333,Gökmen,turkish,
334,Eryılmaz,turkish,
335,Kocaman,turkish,
336,Pala,turkish,
337,Karaaslan,turkish,
338,Özbay,turkish,
339,Tetik,turkish,
340,Erden,turkish,
341,Yanik,turkish,
342,Temiz,turkish,
343,Selçuk,turkish,
344,Inci,turkish,
345,Günaydın,turkish,
346,Okur,turkish,
347,Ulusoy,turkish,
348,Ceyhan,turkish,
349,Atik,turkish,
350,Arik,turkish,
351,Uyanık,turkish,
352,Gürel,turkish,
353,Peker,turkish,
354,Atay,turkish,
355,Sayın,turkish,
356,Karabacak,turkish,
357,Öcal,turkish,
358,Yeşilyurt,turkish,
359,Köseoğlu,turkish,
360,Şirin,turkish,
361,Çağlayan,turkish,
362,Sever,turkish,
363,Taşkıran,turkish,
364,Dede,turkish,
365,Ayan,turkish,
366,Yağci,turkish,
367,Çavdar,turkish,
368,Ok,turkish,
369,Salman,turkish,
370,Tezcan,turkish,
371,Girgin,turkish,
372,Akan,turkish,
373,Koçyiğit,turkish,
374,Kaçmaz,turkish,
375,Gencer,turkish,
376,Olgun,turkish,
377,Akyildiz,turkish,
378,Çalik,turkish,
379,Tatar,turkish,
380,Kuzu,turkish,
381,Demirhan,turkish,
382,Tok,turkish,
383,Kızılkaya,turkish,
384,Filiz,turkish,
385,Oktay,turkish,
386,Ülker,turkish,
387,Kurnaz,turkish,
388,Bilen,turkish,
389,Candan,turkish,
390,Tarhan,turkish,
391,Inal,turkish,
392,Arici,turkish,
393,Akbaba,turkish,
394,Başar,turkish,
395,Taştan,turkish,
396,Kalayci,turkish,
397,Topuz,turkish,
398,Özdoğan,turkish,
399,Uludağ,turkish,
400,Poyraz,turkish,
401,Ünver,turkish,
402,Okumuş,turkish,
403,Karadaş,turkish,
404,Kaymaz,turkish,
405,Karademir,turkish,
406,Şenel,turkish,
407,Seven,turkish,
408,Sağır,turkish,
409,Tuncel,turkish,
410,Zorlu,turkish,
411,Teke,turkish,
412,Çifçi,turkish,
413,Korkut,turkish,
414,Karakurt,turkish,
415,Çavuş,turkish,
416,Çil,turkish,
417,Subaşi,turkish,
418,Atli,turkish,
419,Tiryaki,turkish,
420,Zeybek,turkish,
421,Tepe,turkish,
422,Irmak,turkish,
423,Akcan,turkish,
424,Top,turkish,
425,Yakut,turkish,
426,Söylemez,turkish,
427,Kocabaş,turkish,
428,Kök,turkish,
429,Altan,turkish,
430,Bilir,turkish,
431,Bozdağ,turkish,
432,Berber,turkish,
433,Düzgün,turkish,
434,Ata,turkish,
435,Özgül,turkish,
436,Balta,turkish,
437,Pınar,turkish,
438,Ulu,turkish,
439,Mete,turkish,
440,Atak,turkish,
441,Kizil,turkish,
442,Karasu,turkish,
443,Dikmen,turkish,
444,Yayla,turkish,
445,Tatli,turkish,
446,Kaymak,turkish,
447,Özalp,turkish,
448,Terzi,turkish,
449,Kaynak,turkish,
450,Kır,turkish,
451,Topaloğlu,turkish,
452,Demirkol,turkish,
453,Yorulmaz,turkish,
454,Yolcu,turkish,
455,Bostanci,turkish,
456,Başer,turkish,
457,Göksu,turkish,
458,Göçer,turkish,
459,Soysal,turkish,
460,Çankaya,turkish,
461,Çetiner,turkish,
462,Ergen,turkish,
463,Gündoğan,turkish,
464,Erdal,turkish,
465,Koyun,turkish,
466,Apaydın,turkish,
467,Yener,turkish,
468,Dilek,turkish,
469,Kayhan,turkish,
470,Adıyaman,turkish,
471,Özbey,turkish,
472,Bilici,turkish,
473,Yağmur,turkish,
474,Öztaş,turkish,
475,Şakar,turkish,
476,Bodur,turkish,
477,Akkurt,turkish,
478,Meral,turkish,
479,Aşık,turkish,
480,Çay,turkish,
481,Balaban,turkish,
482,Vatansever,turkish,
483,Kiran,turkish,
484,Aldemir,turkish,
485,Koçer,turkish,
486,Kul,turkish,
487,Barut,turkish,
488,Bayir,turkish,
489,Canpolat,turkish,
490,Çakici,turkish,
491,Kanat,turkish,
492,Atasoy,turkish,
493,Cesur,turkish,
494,Cebeci,turkish,
495,Sarıoğlu,turkish,
496,Özyurt,turkish,
497,Alagöz,turkish,
498,Işler,turkish,
499,Sümer,turkish,
500,Serin,turkish,
501,Erdemir,turkish,
502,Kahveci,turkish,
503,Atici,turkish,
504,Karaoğlu,turkish,
505,Akarsu,turkish,
506,Gökdemir,turkish,
507,Ekin,turkish,
508,Tufan,turkish,
509,Dağdelen,turkish,
510,Kurtuluş,turkish,
511,Dere,turkish,
512,Yardimci,turkish,
513,Akkoyun,turkish,
514,Başak,turkish,
515,Eken,turkish,
516,Duru,turkish,
517,Çaliş,turkish,
518,Ertuğrul,turkish,
519,Bedir,turkish,
520,Eraslan,turkish,
521,Ulaş,turkish,
522,Baltaci,turkish,
523,Alici,turkish,
524,Sayar,turkish,
525,Özgün,turkish,
526,Saka,turkish,
527,Baykal,turkish,
528,Tuncay,turkish,
529,Çabuk,turkish,
530,Ulutaş,turkish,
531,Gören,turkish,
532,Balkan,turkish,
533,Kiraz,turkish,
534,Kuşçu,turkish,
535,Satilmiş,turkish,
536,Yörük,turkish,
537,Bariş,turkish,
538,Kale,turkish,
539,Saritaş,turkish,
540,Erten,turkish,
541,Kasap,turkish,
542,Gülen,turkish,
543,Yazar,turkish,
544,Bahadır,turkish,
545,Bahar,turkish,
546,Ekiz,turkish,
547,Dereli,turkish,
548,Bozdemir,turkish,
549,Kar,turkish,
550,Atar,turkish,
551,Bozan,turkish,
552,Seyhan,turkish,
553,Bayındır,turkish,
554,Güvenç,turkish,
555,Yurdakul,turkish,
556,Kurtoğlu,turkish,
557,Tanrıkulu,turkish,
558,Karacan,turkish,
559,Yoldaş,turkish,
560,Yapici,turkish,
561,Erbaş,turkish,
562,Meriç,turkish,
563,Coşar,turkish,
564,Asan,turkish,
565,Coşgun,turkish,
566,Gökalp,turkish,
567,Al,turkish,
568,Yağız,turkish,
569,Çavuşoğlu,turkish,
570,Çayir,turkish,
571,Arabaci,turkish,
572,Özgen,turkish,
573,Eriş,turkish,
574,Çobanoğlu,turkish,
575,Aykut,turkish,
576,Ural,turkish,
577,Kabak,turkish,
578,Şafak,turkish,
579,Ersöz,turkish,
580,Güllü,turkish,
581,Han,turkish,
582,San,turkish,
583,Türkyılmaz,turkish,
584,Boyraz,turkish,
585,Temur,turkish,
586,Tokgöz,turkish,
587,Büyük,turkish,
588,Cihan,turkish,
589,Civelek,turkish,
590,Gürkan,turkish,
591,Bostan,turkish,
592,Pamuk,turkish,
593,Benli,turkish,
594,Ardiç,turkish,
595,Telli,turkish,
596,Gürler,turkish,
597,Görgülü,turkish,
598,Akalın,turkish,
599,Göçmen,turkish,
600,Selvi,turkish,
601,Öztekin,turkish,
602,Ekşi,turkish,
603,Onay,turkish,
604,Şişman,turkish,
605,Karaoğlan,turkish,
606,Demirkiran,turkish,
607,Tüfekçi,turkish,
608,Ayvaz,turkish,
609,Onur,turkish,
610,Özkul,turkish,
611,Kaynar,turkish,
612,Uygur,turkish,
613,Aşkın,turkish,
614,Emre,turkish,
615,Durgun,turkish,
616,Kan,turkish,
617,Ertan,turkish,
618,Taşdelen,turkish,
619,Örs,turkish,
620,Beyaz,turkish,
621,Kaba,turkish,
622,Keklik,turkish,
623,Berk,turkish,
624,Gülşen,turkish,
625,Kahya,turkish,
626,Meşe,turkish,
627,Uğuz,turkish,
628,Öncel,turkish,
629,Uçak,turkish,
630,Bora,turkish,
631,Cin,turkish,
632,Sezen,turkish,
633,Altaş,turkish,
634,Kütük,turkish,
635,Kılıçaslan,turkish,
636,Dayan,turkish,
637,Koşar,turkish,
638,Cömert,turkish,
639,Batur,turkish,
640,Yanar,turkish,
641,Derin,turkish,
642,Geyik,turkish,
643,Demiral,turkish,
644,Atılgan,turkish,
645,Toker,turkish,
646,Araz,turkish,
647,Karaarslan,turkish,
648,Kayar,turkish,
649,Yurt,turkish,
650,Canli,turkish,
651,Orak,turkish,
652,Tokmak,turkish,
653,Pektaş,turkish,
654,Durgut,turkish,
655,Dalgıç,turkish,
656,Ertekin,turkish,
657,Yerlikaya,turkish,
658,Sarıgül,turkish,
659,Yılmazer,turkish,
660,Canbaz,turkish,
661,Çirak,turkish,
662,Tunca,turkish,
663,Gönül,turkish,
664,Kardaş,turkish,
665,Üstündağ,turkish,
666,Yüksek,turkish,
667,Sarica,turkish,
668,Türkan,turkish,
669,Kazan,turkish,
670,Nas,turkish,
671,Öncü,turkish,
672,Sungur,turkish,
673,Söğüt,turkish,
674,Ataman,turkish,
675,Gökkaya,turkish,
676,Demiray,turkish,
677,Ermiş,turkish,
678,Akkaş,turkish,
679,Karabaş,turkish,
680,Çelen,turkish,
681,Doğanay,turkish,
682,Uçan,turkish,
683,Ören,turkish,
684,Çakan,turkish,
685,Karaağaç,turkish,
686,Tek,turkish,
687,Baştürk,turkish,
688,Çakal,turkish,
689,Yakar,turkish,
690,Çekiç,turkish,
691,Karabıyık,turkish,
692,Çapar,turkish,
693,Onat,turkish,
694,Baydar,turkish,
695,Dinler,turkish,
696,Kaygısız,turkish,
697,Sürücü,turkish,
698,Akkoç,turkish,
699,Dalkiliç,turkish,
700,Maden,turkish,
701,Değer,turkish,
702,Emir,turkish,
703,Özay,turkish,
704,Döner,turkish,
705,Elçi,turkish,
706,Ağca,turkish,
707,Erdoğdu,turkish,
708,Biyik,turkish,
709,Aktan,turkish,
710,Bircan,turkish,
711,Demircioğlu,turkish,
712,Örnek,turkish,
713,Erbay,turkish,
714,Babacan,turkish,
715,Ayar,turkish,
716,Çakiroğlu,turkish,
717,Sancar,turkish,
718,Ece,turkish,
719,Bekar,turkish,
720,Gürses,turkish,
721,Aksakal,turkish,
722,Yurtseven,turkish,
723,Balıkçı,turkish,
724,Alpaslan,turkish,
725,Evren,turkish,
726,Narin,turkish,
727,Kisa,turkish,
728,Toy,turkish,
729,Kaptan,turkish,
730,Bay,turkish,
731,Çatal,turkish,
732,Avcu,turkish,
733,Macit,turkish,
734,Binici,turkish,
735,Saygili,turkish,
736,Bilge,turkish,
737,Daş,turkish,
738,Öğüt,turkish,
739,Vardar,turkish,
740,Çalişir,turkish,
741,Alptekin,turkish,
742,Özlü,turkish,
743,Sayan,turkish,
744,Kaygusuz,turkish,
745,Soydan,turkish,
746,Birinci,turkish,
747,Çitak,turkish,
748,Göl,turkish,
749,Boran,turkish,
750,Ileri,turkish,
751,Kiraç,turkish,
752,Odabaş,turkish,
753,Murat,turkish,
754,Teker,turkish,
755,Uz,turkish,
756,Akyürek,turkish,
757,Ozan,turkish,
758,Kayan,turkish,
759,Aşçı,turkish,
760,Bozdoğan,turkish,
761,Fındık,turkish,
762,Tanış,turkish,
763,Bali,turkish,
764,Durdu,turkish,
765,Konuk,turkish,
766,Kivrak,turkish,
767,Kiziltaş,turkish,
768,Sakarya,turkish,
769,Kurşun,turkish,
770,Aytaç,turkish,
771,Sözen,turkish,
772,Açık,turkish,
773,Tüzün,turkish,
774,Baykara,turkish,
775,Yaşa,turkish,
776,Kalender,turkish,
777,Odabaşi,turkish,
778,Özhan,turkish,
779,Toraman,turkish,
780,Damar,turkish,
781,Altınok,turkish,
782,Kahriman,turkish,
783,Ibiş,turkish,
784,Tutar,turkish,
785,Yarar,turkish,
786,Gökçen,turkish,
787,Hatipoğlu,turkish,
788,Kömürcü,turkish,
789,Akbay,turkish,
790,Demirkan,turkish,
791,Kocaoğlu,turkish,
792,Yeter,turkish,
793,Bozkuş,turkish,
794,Abay,turkish,
795,Sucu,turkish,
796,Alper,turkish,
797,Serbest,turkish,
798,Hacıoğlu,turkish,
799,Gezgin,turkish,
800,Gönen,turkish,
801,Uzunoğlu,turkish,
802,Kılıçarslan,turkish,
803,Bilgi,turkish,
804,Varli,turkish,
805,Yetim,turkish,
806,Kozan,turkish,
807,Akdaş,turkish,
808,Yazgan,turkish,
809,Kirmizi,turkish,
810,Kula,turkish,
811,Seçkin,turkish,
812,Demirkaya,turkish,
813,Ülger,turkish,
814,Sak,turkish,
815,Altundağ,turkish,
816,Bilgili,turkish,
817,Sancak,turkish,
818,Yetkin,turkish,
819,Balli,turkish,
820,Aydoğmuş,turkish,
821,Nergiz,turkish,
822,Karayel,turkish,
823,Ekmekçi,turkish,
824,Kiyak,turkish,
825,Muslu,turkish,
826,Okçu,turkish,
827,Sargın,turkish,
828,Dülger,turkish,
829,Karapınar,turkish,
830,Balık,turkish,
831,Arda,turkish,
832,Günal,turkish,
833,Ertem,turkish,
834,Ataç,turkish,
835,Semiz,turkish,
836,Kaçan,turkish,
837,Daşdemir,turkish,
838,Nazli,turkish,
839,Tekeli,turkish,
840,Aladağ,turkish,
841,Aktepe,turkish,
842,Çetintaş,turkish,
843,Boztepe,turkish,
844,Şaşmaz,turkish,
845,Alparslan,turkish,
846,Bayhan,turkish,
847,Bakan,turkish,
848,Özaydin,turkish,
849,Kabakci,turkish,
850,Oğur,turkish,
851,Özkurt,turkish,
852,Keçeci,turkish,
853,Karatay,turkish,
854,Esmer,turkish,
855,Taşpınar,turkish,
856,Kalay,turkish,
857,Gezici,turkish,
858,Sağdiç,turkish,
859,Özkara,turkish,
860,Bakirci,turkish,
861,Çolakoğlu,turkish,
862,Durna,turkish,
863,Şahbaz,turkish,
864,Kocabıyık,turkish,
865,Nalbant,turkish,
866,Çeçen,turkish,
867,Bakar,turkish,
868,Karatepe,turkish,
869,Inanç,turkish,
870,Gürcan,turkish,
871,Kayali,turkish,
872,Yaldiz,turkish,
873,Dağdeviren,turkish,
